File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\main.c,319,200,146,30,53,9,66,480,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\global.h,270,117,65,18,36,1,117,605,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\CURRENT_SENSOR\current_sensor.c,259,157,123,32,34,4,68,676,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\CURRENT_SENSOR\current_sensor.h,37,23,11,0,11,0,3,8,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\EEPROM\eeprom.c,156,114,88,27,21,7,21,133,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\EEPROM\eeprom.h,49,35,16,0,11,1,3,30,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\MESSAGES\messages.c,261,156,128,23,59,0,46,331,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\MESSAGES\messages.h,84,48,8,0,22,0,14,59,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\network.c,320,196,155,25,43,34,81,564,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\network.h,89,44,23,0,17,7,28,123,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Ethernet\socket.c,931,713,445,189,49,10,169,951,55,417
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Ethernet\wizchip_conf.c,905,671,380,105,63,14,171,1088,51,385
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Ethernet\socket.h,490,103,19,0,32,62,355,3615,84,734
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Ethernet\wizchip_conf.h,662,257,86,0,66,91,339,2551,51,364
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Ethernet\W5500\w5500.c,268,166,116,13,40,8,62,439,54,380
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Ethernet\W5500\w5500.h,2164,340,20,0,243,26,1581,9971,45,314
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Internet\DHCP\dhcp.c,1019,759,533,69,153,77,107,1096,51,353
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Internet\DHCP\dhcp.h,162,34,13,0,20,12,108,682,45,318
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\PSEUDO_RTCC\pseudo_rtcc.c,97,73,62,6,20,16,4,95,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\PSEUDO_RTCC\pseudo_rtcc.h,44,26,17,0,16,0,2,18,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\TEMPERATURE_SENSOR\temperature_sensor.c,247,173,142,27,34,11,40,247,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\TEMPERATURE_SENSOR\temperature_sensor.h,53,35,17,0,15,0,3,18,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\UART\uart.c,62,37,29,9,9,12,16,188,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\UART\uart.h,20,8,4,0,8,0,4,17,0,0
